,source,barrel,bullet,land,score_left_rollapply,score_right_rollapply,score_left_rlo,score_right_rlo,score_left_quadratic,score_right_quadratic,Notes
22,Barrel 1/Bullet 1/HS44 - Barrel 1 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 1,Bullet 1,Land 3,104.8217329,-1462.897084,19.7902332,-1679.329305,119.4890567,-1462.897084,
23,Barrel 8/Bullet 2/HS44 - Barrel 8 - Bullet 2 - Land 5 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 8,Bullet 2,Land 5,5.303454883,56.91655703,5.303454883,12.94015364,5.303454883,56.91655703,
24,Unknowns/Bullet 'Y'/HS44 - Unknown; Bullet Y; Land 5 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'Y',Land 5,29.98535782,3295.095563,4.381185042,1.927506564,161.9955002,13.3482942,
25,Barrel 5/Bullet 1/HS44 - Barrel 5 - Bullet 1 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 5,Bullet 1,Land 2,-107.2846904,149.8767503,14.25699874,67.97745098,104.8139693,149.8767503,
26,Barrel 6/Bullet 1/HS44 - Barrel 6 - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 1,Land 6,19.66301617,6.740685031,14.04796974,54.36684087,216.4204483,6241.033964,
27,Unknowns/Bullet 'O'/HS44 - Unknown; Bullet O; Land 5 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'O',Land 5,113.1917598,116.6745785,76.04674433,-2.477873963,3.372461018,6.177939162,
28,Unknowns/Bullet 'E'/HS44 - Barrel 10; Bullet E; Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'E',Land 1,104.46755,13.38246605,203.9474109,-1.244434165,29.73546245,13.38246605,
29,Unknowns/Bullet 'F'/HS44 - Unknown; Bullet F; Land 3 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Connor Hergenreter.dat,Unknowns,Bullet 'F',Land 3,-8.998232598,142.418806,0.283507408,0.906721261,32.68909055,11.73559797,
30,Barrel 1/Bullet 1/HS44 - Barrel 1 - Bullet 1 - Land 4 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 1,Bullet 1,Land 4,-46.44957236,506.6072644,6.654950191,429.9364885,54.56739258,492.267822,
31,Barrel 3/Bullet 1/HS44 - Barrel 3; Bullet 1; Land 1 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 3,Bullet 1,Land 1,2082.238142,1266.893575,-0.468208894,1.048781946,-0.468208894,1.048781946,
32,Barrel 6/Bullet 2/HS44 - Barrel 6 - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20 perc. & x10 - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 6,Bullet 2,Land 4,169.2933366,10.40772631,10.47812948,76.0394679,10.47812948,227.3286221,
33,Barrel 9/Bullet 2/HS44 - Barrel 9 - Bullet 2 - Land 2 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 9,Bullet 2,Land 2,26.94293053,6.88672864,4.71412609,9.325834051,176.338191,3529.649378,
34,Barrel 4/Bullet 1/HS44 - Barrel 4; Bullet1; Land 4 - Sneox1 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Allison Mark.dat,Barrel 4,Bullet 1,Land 4,12.59885844,22.4118487,1.17329296,-0.569014482,25.50104185,6.784289207,
35,Barrel 7/Bullet 2/HS44 - Barrel 7 - Bullet 2 - Land 3 -Sneox2 - 20x - auto light left image + 20 perc. - Threshold 2 - Resolution 4 - Connor Hergenreter.dat,Barrel 7,Bullet 2,Land 3,168.1467047,17.84138078,278.809085,-159.3172776,53.73869394,-159.3172776,
36,Barrel 10/Bullet 1/HS44 - Barrel 10; Bullet 1; Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 10,Bullet 1,Land 1,-4.032532019,666.1144026,237.2058002,356.7128177,281.7171775,604.3035645,
37,Barrel 10/Bullet 2/HS44 - Barrel 10; Bullet 2; Land 1 - Sneox1 - 20x - auto light left image +20 perc. x10- threshold 2 - resolution 4 - Marco Yepez.dat,Barrel 10,Bullet 2,Land 1,-51.39947799,1252.637662,2.180744848,-0.650596806,219.5995352,-0.650596806,
38,Barrel 1/Bullet 2/HS44 - Barrel 1 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 1,Bullet 2,Land 1,-203.6329449,-2612.465867,36.68566214,4676.047219,7577.57217,5296.744354,
39,Barrel 5/Bullet 1/HS44 - Barrel 5 - Bullet 1 - Land 3 - Sneox2 - 20x - auto light left image +20 perc. - threshold 2 - resolution 4 - Connor Hergenreter.dat,Barrel 5,Bullet 1,Land 3,-266.3979829,-77.51951331,-85.11468066,-36.39934633,-102.075845,-9.94554414,
40,Unknowns/Bullet 'X'/HS44 - Unknown; Bullet X; Land 3 - Sneox1 - 20x - auto light left image + 20 perc x10 - threshold 2 - resolution 4 - Marco Yepez.dat,Unknowns,Bullet 'X',Land 3,-101.87322,-85.25595896,8.209039996,-87.20914671,52.41924695,-85.25595896,
